id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25915403,"Barossa Valley Rest, Restore and Explore",181411319,Crystal,,Lyndoch,-34.60286,138.87898,Entire home/apt,207,2,239,2022-08-29,6.15,1,10,79,
25916821,Barossa Valley’s Captain Rodda’s Cottage,129160994,Christina,,Angaston,-34.49131,139.04817,Entire home/apt,400,1,14,2022-08-20,0.29,1,101,5,
25928338,Sharay’s Barossa Sanctuary,40008394,Sarah,,Tanunda,-34.52209,138.96149,Entire home/apt,350,2,127,2022-09-04,2.48,1,266,39,
26009146,"The Barn - a little bit rustic, a little bit luxe",22589842,Carolyn,,Moculta,-34.475,139.05824,Entire home/apt,174,1,209,2022-09-10,4.10,1,185,54,
26143659,Cameron St Cottage - Walk To Main Street!,63693332,GaryLeonie,,Buchfelde,-34.59757,138.74341,Entire home/apt,189,2,20,2022-09-18,0.57,5,171,4,
26403678,29 Jane,198551256,Tuoi,,Tanunda,-34.52608,138.95368,Entire home/apt,300,1,116,2022-09-04,2.26,1,228,31,
27065195,Woodland Cottage,203661825,Francis,,Mount Crawford,-34.75231,138.99368,Entire home/apt,110,1,207,2022-08-28,4.10,1,321,54,
27271141,Red Gum Retreat  with wood fire & free wifi,205436375,Erika,,Williamstown,-34.66435,138.88963,Entire home/apt,150,2,59,2022-06-13,1.20,1,119,9,
27409406,The Dairyman Barossa .. The Chaff House,206287989,Michael,,Williamstown,-34.62504,138.92017,Entire home/apt,285,2,14,2022-07-30,0.42,2,307,6,
27409837,The Dairyman Barossa ....Dairyman's Cottage,206287989,Michael,,Williamstown,-34.62274,138.92182,Entire home/apt,315,2,18,2022-08-06,0.50,2,282,4,
27814606,1837 Barossa Luxury Vineyard Cottage. S Australia,28712482,Nelly,,Lyndoch,-34.58534,138.86528,Entire home/apt,413,2,17,2022-07-17,0.35,3,267,4,
28843427,Fechner Place★Barossa Studio★ 1 Bed★Breakfast★Wine,103407726,Karina,,Tanunda,-34.51408,138.95995,Entire home/apt,285,2,80,2022-05-29,2.22,1,328,20,
28881088,Gawler Townhouse 1 Bedroom Queen Bed,38878329,Andrew,,Concordia,-34.59423,138.74956,Entire home/apt,215,1,232,2022-08-26,4.80,6,320,63,
29170994,Barossa Valley Studio,64599221,Darren,,Angaston,-34.50638,139.05093,Entire home/apt,106,1,167,2022-08-28,3.66,1,166,20,
29192273,Purpose-built Holiday Retreat,69307468,Cory,,Tanunda,-34.53171,138.95427,Entire home/apt,257,2,146,2022-09-04,3.51,1,304,47,
29250289,"Walnut Cottage, Angaston",86995031,Lydia,,Angaston,-34.50457,139.04457,Entire home/apt,211,1,19,2022-08-29,0.53,2,264,11,
29323401,1910 Murray in the heart of Tanunda,36772813,Leonie,,Tanunda,-34.51949,138.96546,Entire home/apt,500,2,90,2022-09-12,1.93,1,7,15,
29557043,1837 Barossa Luxury  Vineyard  Cottage  Hideaway,28712482,Nelly,,Lyndoch,-34.58202,138.86204,Entire home/apt,413,2,21,2022-05-30,0.44,3,296,6,
29665883,10a on Elizabeth,223133750,Jodie,,Tanunda,-34.52246,138.95845,Entire home/apt,306,2,156,2022-09-18,3.30,1,275,37,
29783445,"Fig Tree Cottage,  A charming 2 bedroom cottage. Historic 1843 cottage in the heart of Angaston.",26147078,Jonathan And Kate,,Angaston,-34.49908,139.0428,Entire home/apt,272,2,99,2022-09-15,2.15,6,295,28,
29975093,JOHANN'S COTTAGE~ located in the heart of Tanunda,220350000,Tanya & Mark,,Tanunda,-34.52628,138.95455,Entire home/apt,188,2,62,2022-08-28,1.37,1,201,23,
30094352,The Rusty Olive,225677521,Sue And Mike,,Angaston,-34.50245,139.05257,Entire home/apt,251,2,92,2022-04-25,2.03,1,1,13,
30724902,Petras House,229977210,Sibylle,,Light Pass,-34.45861,139.02638,Entire home/apt,190,1,117,2022-09-11,2.60,1,328,32,
31336642,Meander Retreat - relax in the country,93219392,Evelyn,,Eden Valley,-34.68704,139.09036,Entire home/apt,180,2,33,2022-07-12,0.94,1,325,6,
31364857,barossa studio 57 accommodation,234888505,Murnane,,Tanunda,-34.5155,138.96574,Entire home/apt,191,2,152,2022-09-17,3.45,1,297,47,
31598469,The Villas - Barossa. Peace. Beauty. Simplicity.,233968367,Grant And Cathy,,Marananga,-34.48413,138.93598,Entire home/apt,575,2,30,2022-08-01,0.73,1,320,15,
31963378,"Strothers Farm House ~ Angaston, Barossa Valley",239660458,Sue,,Moculta,-34.48898,139.05637,Entire home/apt,270,2,49,2022-09-18,1.13,1,158,21,
32426520,1849 Victoria Flour Mill Counting House,33964673,Natalie,,Buchfelde,-34.59906,138.74396,Entire home/apt,145,1,194,2022-09-08,4.50,3,318,70,
32551818,Barossa Bliss,244624080,Ben,,Nuriootpa,-34.46731,138.98425,Entire home/apt,150,2,76,2022-08-18,1.85,1,116,11,
32789383,Wings Barossa Bird & Bush Retreat - Barossa Region,246654848,Graeme & Fleur,,Mount Crawford,-34.69142,139.03562,Entire home/apt,270,2,58,2022-08-07,1.49,2,335,22,
32964524,Wings Barossa Bird & Bush Retreat,246654848,Graeme & Fleur,,Mount Crawford,-34.68958,139.03468,Entire home/apt,270,2,13,2022-07-31,0.55,2,335,9,
33539267,The Chapel,26147078,Jonathan And Kate,,Lyndoch,-34.60192,138.88495,Entire home/apt,301,2,157,2022-09-10,3.77,6,270,60,
33663235,Lucy's House,253714714,Steve,,Marananga,-34.48627,138.94349,Entire home/apt,260,2,17,2022-07-03,0.47,1,205,4,
33718568,Henris Cottage,84633251,Henri,,Sandy Creek,-34.58186,138.83327,Private room,286,2,0,,,2,174,0,
33885699,The Loft,85556067,Tracy,,Tanunda,-34.52836,138.95616,Entire home/apt,321,2,200,2022-09-04,4.84,1,276,54,
33968239,The Clyde Greenock,255507745,Janine,,Marananga,-34.45982,138.93486,Entire home/apt,414,2,10,2022-06-13,0.30,2,175,2,
34104638,Bali in the Barossa,257523028,Karen,,Buchfelde,-34.60679,138.73841,Entire home/apt,210,1,136,2022-09-04,3.30,1,342,33,
34661591,"'In The Vines' Guest Cottage, Barossa Valley SA",261496601,Josie & Andrew,,Light Pass,-34.47415,139.03569,Entire home/apt,239,2,75,2022-07-14,1.85,1,262,16,
34732524,Ten on French,86995031,Lydia,,Angaston,-34.50478,139.04587,Entire home/apt,184,2,32,2022-09-04,0.80,2,295,18,
34756758,Mataro Cottage Tanunda - Stunning Accomodation,262121622,Jerry,,Tanunda,-34.52454,138.9534,Entire home/apt,300,2,22,2022-08-28,0.72,5,222,7,
34783741,Angaston Mews Grenache Apartment - Barossa Valley,262121622,Jerry,,Angaston,-34.499,139.05222,Entire home/apt,226,2,5,2022-04-18,0.16,5,314,2,
34785651,Angaston Mews Shiraz Apartment - Barossa Valley,262121622,Jerry,,Angaston,-34.50061,139.0506,Entire home/apt,226,2,2,2022-06-14,0.09,5,330,1,
34787869,Angaston Mews Riesling Apartment - Barossa Valley,262121622,Jerry,,Angaston,-34.49906,139.05118,Entire home/apt,229,2,5,2022-04-21,0.14,5,316,1,
34788045,Angaston Mews Chardonnay Apartment - Barossa,262121622,Jerry,,Angaston,-34.49949,139.0519,Entire home/apt,229,2,5,2022-03-12,0.12,5,314,3,
34914043,JHA Stone Cellar,106868811,Jan,,Angaston,-34.5083,139.10477,Entire home/apt,790,1,15,2022-02-12,0.38,2,228,5,
35021213,Tomfoolery Winemaker's Cottage - Barossa Valley,263832331,Sarah,,Light Pass,-34.47432,139.03661,Entire home/apt,479,2,72,2022-08-21,1.81,1,316,28,
35356801,Williamstown Bed and Breakfast,265939095,Dianne,,Williamstown,-34.67037,138.89143,Entire home/apt,250,2,29,2022-08-20,0.74,1,304,12,
35617858,Lindsay House Homestead,257562725,Jasmine,,Angaston,-34.50249,139.04108,Entire home/apt,874,2,36,2022-07-11,0.99,4,298,18,
35660705,Barossa Valley Gundaroo - we offer 1 night stays,85597526,Tracy,,Mount Crawford,-34.77143,138.97557,Entire home/apt,164,1,361,2022-09-20,9.11,1,300,115,
35887791,Barossa Valley Hilltop Indulgence,73273148,Tricia,,Marananga,-34.45686,138.91976,Entire home/apt,350,2,3,2019-10-12,0.08,1,179,0,
36162973,Delightful private room in heritage home,271985916,Mary,,Buchfelde,-34.60591,138.74732,Private room,90,1,134,2022-09-14,3.45,1,129,52,
36184899,Ironstone on Jollytown,192564481,Brooke & Peter,,Lyndoch,-34.60337,138.87968,Entire home/apt,255,2,233,2022-09-19,7.52,1,16,95,
36464062,The Kirche - Luxury Vineyard Accommodation,274161665,Virginia And Charlie,,Bethany,-34.55993,138.96579,Entire home/apt,795,2,1,2022-08-08,0.67,1,317,1,
36498929,Tal Haus - In the heart of the Barossa Valley,49747343,Maz,,Tanunda,-34.52264,138.96292,Entire home/apt,187,1,310,2022-09-19,8.32,1,239,112,
36774681,Rogasch Cottage,276432130,Scott,,Tanunda,-34.52729,138.95226,Entire home/apt,507,2,187,2022-09-17,5.22,1,187,81,
37021014,"'Allawah' Barossa, Luxury accommodation in Tanunda",99672311,Tracy,,Tanunda,-34.52732,138.95677,Entire home/apt,350,2,57,2022-09-12,1.63,1,224,28,
37468647,Gawler Townhouse 3 Bedroom,38878329,Andrew,,Hewett,-34.59406,138.74947,Entire home/apt,464,1,31,2022-07-31,0.87,6,355,12,
37689356,CASALE Barossa Valley - Bed & Breakfast,284867983,Rosa,,Nuriootpa,-34.46845,138.95749,Entire home/apt,305,1,58,2022-09-06,1.67,1,326,19,
37733817,Ruby’s Residence: LOCATION - cozy - WIFI - netflix,165561239,Marlovisa,,Tanunda,-34.52301,138.95934,Entire home/apt,243,2,75,2022-09-11,2.07,2,269,37,
37926946,Tamu Barossa,287327836,Bianca,,Altona,-34.59088,138.91066,Entire home/apt,139,2,90,2022-08-30,2.49,1,117,28,
38072313,Barossa Valley Vineyard House  8 Acres vineyard,297316869,Greenock Estate Wines,,Nuriootpa,-34.50385,139.00742,Private room,130,1,0,,,1,0,0,
38438917,"Entire cottage, quiet, romantic, self contained",24432943,Alexandra,,Angaston,-34.50468,139.0454,Entire home/apt,230,2,67,2022-09-16,1.86,1,305,25,
38473930,Beautiful guest suite in the Barossa Valley,267461364,Natalie,,Nuriootpa,-34.4655,139.01189,Private room,110,2,39,2022-08-18,1.09,1,217,13,
38557373,Greenock's Old Telegraph Station,120950528,Virginia,,Greenock,-34.45786,138.92946,Entire home/apt,200,2,32,2022-07-11,0.97,1,229,15,
38627334,Milk + Honey House,295010752,Alexandra,,Penrice,-34.48644,139.04602,Entire home/apt,250,2,51,2022-09-04,1.45,1,266,21,
